cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
"Winged Dragon, Guardian of the Fortress 2 ",0,Common,Unlimited,,,57405307,,This monster's wings are capable of generating tornadoes.,Monster,Normal,Winged Beast,WIND,1200,1000,4,,,
Winged Egg of New Life ,0,Common,Unlimited,,,42418084,,Legend has it that this creature can foretell the birth of children.,Monster,Normal,Fairy,LIGHT,1400,1700,5,,,
Winged Kuriboh ,0,Rare,Unlimited,Legacy Pack,,57116033,,"If this card on the field is destroyed and sent to the GY: For the rest of this turn, you take no battle damage.",Monster,Effect,Fairy,LIGHT,300,200,1,,,
Winged Kuriboh LV10 ,0,Rare,Unlimited,Legacy Pack,,98585345,,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Transcendent Wings"". During your opponent's Battle Phase (Quick Effect): You can Tribute this face-up card; destroy as many Attack Position monsters your opponent controls as possible, and if you do, inflict damage to your opponent equal to the combined original ATK of those destroyed monster(s).",Monster,Effect,Fairy,LIGHT,300,200,10,,,
Winged Kuriboh LV6 ,0,Super Rare,Unlimited,Master Pack; The First Heroes; The Masters Saga,,48486809,,"(This card is always treated as an ""Elemental HERO"" and ""Favorite"" card.)
Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by banishing 1 ""Elemental HERO"" Fusion Monster or 1 ""Winged Kuriboh"" from your hand, face-up field, or GY. You can only Special Summon ""Winged Kuriboh LV6"" once per turn this way. When an opponent's monster declares an attack, or your opponent activates a monster effect on the field (Quick Effect): You can Tribute this card; destroy that 1 monster, and if you do, inflict damage to your opponent equal to its original ATK.",Monster,Effect,Fairy,LIGHT,300,200,6,,,
Winged Kuriboh LV9 ,0,Rare,Unlimited,Legacy Pack,,33776734,,"Activate only as Chain Link 3 or higher (Quick Effect): You can Special Summon this card from your hand. Spell Cards that have been activated are banished instead of being sent to the GY. The ATK/DEF of this card are each equal to the number of Spells in your opponent's GY x 500. You can only control 1 ""Winged Kuriboh LV9"".",Monster,Effect,Fairy,LIGHT,?,?,9,,,
Winged Minion ,0,Common,Unlimited,Legacy Pack,,89258225,,"Tribute this card, then target 1 Fiend monster on the field; it gains 700 ATK/DEF while face-up in the Monster Zone.",Monster,Effect,Fiend,DARK,700,700,2,,,
Winged Rhynos ,0,Common,Unlimited,Legacy Pack,,18430390,,"During either player's turn, when a Trap Card is activated (except during the Damage Step): You can return this face-up card from the field to the hand.",Monster,Effect,Beast-Warrior,WIND,1800,500,4,,,
Winged Sage Falcos ,0,Common,Unlimited,Legacy Pack,,87523462,,When this card destroys an opponent's face-up Attack Position monster by battle and sends it to their Graveyard: You can place that monster on top of their Deck.,Monster,Effect,Winged Beast,WIND,1700,1200,4,,,
Wings of Light ,0,Ultra Rare,Unlimited,Counterswing Mages; Lord of Dimensions; Master Pack,,82190203,,"During the Main Phase: Add 1 ""Supreme King Dragon"" or ""Supreme King Gate"" Pendulum Monster from your Deck to your hand, or if you control ""Supreme King Z-ARC"", you can Special Summon it instead. You can only activate 1 ""Wings of Light"" per turn.",Spell,Quick-Play,,,,,,,,
Wings of Wicked Flame ,0,Common,Unlimited,Legacy Pack,,92944626,,Crimson wings of fire make this a very lethal creature.,Monster,Normal,Pyro,FIRE,700,600,2,,,
Wingtortoise ,0,Common,Unlimited,Legacy Pack,,10132124,,"When a face-up Fish, Sea Serpent, or Aqua-Type monster(s) you control is banished: You can Special Summon this card from your hand or Graveyard. (The banished monster(s) must be Fish, Sea Serpent, or Aqua-Type even after being banished.)",Monster,Effect,Aqua,WIND,1500,1400,3,,,
Wingweaver ,0,Common,Unlimited,Legacy Pack,,31447217,,A six-winged fairy who prays for peace and hope.,Monster,Normal,Fairy,LIGHT,2750,2400,7,,,
Wing Eagle ,0,Common,Unlimited,Legacy Pack,,47319141,,This flying creature never misses an intended target.,Monster,Normal,Winged Beast,WIND,1800,1500,5,,,
Wing Egg Elf ,0,Common,Unlimited,Legacy Pack,,98582704,,This fairy in an eggshell uses massive wings to blow back almost any projectile attack.,Monster,Normal,Fairy,LIGHT,500,1300,3,,,
Wing Requital ,0,Rare,Unlimited,Master Pack; Moonlit Avian Dance; Wings That Span the Sky,,08843569,,"If all monsters you control are Winged Beast monsters and you control at least 2 monsters with different original names: Pay 600 LP; draw 2 cards. You can only activate 1 ""Wing Requital"" per turn.",Spell,Normal,,,,,,,,
Wiretap ,0,Super Rare,Unlimited,Master Pack,,34507039,,"When a Trap is activated: Negate the activation, and if you do, shuffle that card into the Deck.",Trap,Counter,,,,,,,,
Wisdom-Eye Magician ,0,Super Rare,Unlimited,Counterswing Mages; Master Pack,,72714461,,"Pendulum Effect
If you have a ""Magician"" or ""Performapal"" card in your other Pendulum Zone: You can destroy this card, and if you do, place 1 ""Magician"" Pendulum Monster from your Deck in your Pendulum Zone, except ""Wisdom-Eye Magician"".
Monster Effect
You can discard this card, then target 1 card in your Pendulum Zone, whose current Pendulum Scale is different from its original Pendulum Scale; its Pendulum Scale becomes its original Pendulum Scale until the end of this turn.",Monster,Pendulum;Effect,Spellcaster,LIGHT,1500,1500,4,5,,
Wiseman's Chalice ,0,Super Rare,Unlimited,Legacy Pack,,35262428,,"If you control no monsters, select 1 monster in your opponent's Graveyard. Special Summon it. It cannot be Tributed, or used as a Synchro Material Monster. During the End Phase of this turn, give control of that Special Summoned monster to your opponent.",Spell,Normal,,,,,,,,
Wishes for Eyes of Blue ,0,Ultra Rare,Unlimited,Master Pack; The Ultimate Sparkle,,80326401,,"Discard 1 card; add 1 Level 1 LIGHT Tuner, and 1 Spell/Trap that mentions ""Blue-Eyes White Dragon"", from your Deck to your hand, except ""Wishes for Eyes of Blue"". You can banish this card from your GY, then target 1 ""Blue-Eyes White Dragon"" you control; equip 1 ""Blue-Eyes"" monster from your Extra Deck to it as an Equip Spell that gives it 400 ATK. You can only use each effect of ""Wishes for Eyes of Blue"" once per turn.",Spell,Normal,,,,,,,,
Wish Dragon ,0,Rare,Unlimited,Climax of the Showdown; Dragons' Reincarnation; Master Pack,,64583600,,"You can Tribute this card; Special Summon 2 ""Dragon Tokens"" (Dragon/EARTH/Level 1/ATK 0/DEF 0), also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Level 5 or higher Dragon monsters. You can only use this effect of ""Wish Dragon"" once per turn.",Monster,Effect,Dragon,LIGHT,700,100,2,,,
Witch's Apprentice ,0,Common,Unlimited,,,80741828,,"As long as this card remains face-up on the field, increase the ATK of all DARK monsters by 500 points and decrease the ATK of all LIGHT monsters by 400 points.",Monster,Effect,Spellcaster,DARK,550,500,2,,,
Witch's Strike ,0,Common,Unlimited,Deceitful Wings of Darkness; Master Pack; Mysterious Labyrinth,,36458063,,"If your opponent negates the Normal or Special Summon of a monster(s), or the activation of a card or effect: Destroy all cards your opponent controls and in their hand.",Trap,Normal,,,,,,,,
Witchcrafter Bystreet ,0,Common,Unlimited,Master Pack; Name of Champions; Seekers of Witchcraft,,83289866,,"The first time each ""Witchcrafter"" monster you control would be destroyed each turn, by battle or card effect, it is not destroyed. You can only use 1 of the following effects of ""Witchcrafter Bystreet"" per turn, and only once that turn.
●If a ""Witchcrafter"" monster you control would discard to activate an effect, you can send this card from your field to the GY instead.
●During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can place this card face-up in your Spell & Trap Zone.",Spell,Continuous,,,,,,,,
Witchcrafter Collaboration ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,10805153,,"Target 1 ""Witchcrafter"" monster you control; it can make a second attack during each Battle Phase this turn, also, if it attacks this turn, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step. During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Collaboration"" effect per turn, and only once that turn.",Spell,Normal,,,,,,,,
Witchcrafter Confusion Confession ,0,Ultra Rare,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,35098357,,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material, including a ""Witchcrafter"" monster. During your End Phase, if you control a ""Witchcrafter"" monster while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Confusion Confession"" effect per turn, and only once that turn.",Spell,Normal,,,,,,,,
Witchcrafter Creation ,0,Super Rare,Unlimited,Master Pack; Seekers of Witchcraft,,57916305,,"Add 1 ""Witchcrafter"" monster from your Deck to your hand. During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Creation"" effect per turn, and only once that turn.",Spell,Normal,,,,,,,,
Witchcrafter Draping ,0,Common,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,56894757,,"Target Spells/Traps your opponent controls, up to the number of ""Witchcrafter"" monsters you control; return those targeted cards to the hand. During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Draping"" effect per turn, and only once that turn.",Spell,Quick-Play,,,,,,,,
Witchcrafter Edel ,0,Common,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,58139997,,"(Quick Effect): You can discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your hand, except ""Witchcrafter Edel"". You can Tribute this card, then target 1 Spellcaster monster in your GY, except ""Witchcrafter Edel""; Special Summon it. You can only use each effect of ""Witchcrafter Edel"" once per turn.",Monster,Effect,Spellcaster,LIGHT,2000,2300,5,,,
Witchcrafter Genni ,0,Rare,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,64756282,,"During the Main Phase (Quick Effect): You can Tribute this card and discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your Deck, except ""Witchcrafter Genni"". You can banish this card and 1 ""Witchcrafter"" Spell from your GY; this effect becomes that Spell's effect when that card is activated. You can only use each effect of ""Witchcrafter Genni"" once per turn.",Monster,Effect,Spellcaster,WIND,300,500,1,,,
Witchcrafter Golem Aruru ,0,Ultra Rare,Unlimited,Master Pack; Seekers of Witchcraft; Stalwart Force,,71074418,,"When your opponent activates a card or effect that targets a Spellcaster monster(s) you control, or targets it for an attack (Quick Effect): You can target 1 card your opponent controls, or 1 ""Witchcrafter"" Spell in your GY; Special Summon this card from your hand, and if you do, return that targeted card to the hand. You can only use this effect of ""Witchcrafter Golem Aruru"" once per turn. Once per turn, during your opponent's Standby Phase: Return this card to the hand.",Monster,Effect,Spellcaster,LIGHT,2800,0,8,,,
Witchcrafter Haine ,0,Super Rare,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,84523092,,"Your opponent cannot target other Spellcaster monsters you control with card effects. (Quick Effect): You can discard 1 Spell, then target 1 face-up card your opponent controls; destroy it. You can only use this effect of ""Witchcrafter Haine"" once per turn.",Monster,Effect,Spellcaster,DARK,2400,1000,7,,,
Witchcrafter Holiday ,0,Common,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,83301414,,"Target 1 ""Witchcrafter"" monster in your GY; Special Summon it. During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Holiday"" effect per turn, and only once that turn.",Spell,Normal,,,,,,,,
Witchcrafter Madame Verre ,0,Super Rare,Unlimited,Master Pack; Seekers of Witchcraft,,21522601,,"During damage calculation, if your Spellcaster monster battles an opponent's monster (Quick Effect): You can reveal any number of Spells with different names in your hand, and if you do, your battling monster gains 1000 ATK/DEF for each card revealed, until the end of this turn. (Quick Effect): You can discard 1 Spell; negate the effects of all face-up monsters your opponent currently controls, until the end of this turn. You can only use each effect of ""Witchcrafter Madame Verre"" once per turn.",Monster,Effect,Spellcaster,LIGHT,1000,2800,8,,,
Witchcrafter Masterpiece ,0,Rare,Unlimited,Legacy Pack,,55072170,,"If you control a ""Witchcrafter"" monster: Target 1 Spell in either GY; add 1 card with the same name from your Deck to your hand. During either player's turn, except the turn this card was sent to the GY: You can banish this card and any number of Spells from your GY; Special Summon 1 ""Witchcrafter"" monster from your Deck whose Level equals the number of Spells banished to activate this effect. You can only use each effect of ""Witchcrafter Masterpiece"" once per turn.",Trap,Normal,,,,,,,,
Witchcrafter Patronus ,0,Rare,Unlimited,Legacy Pack,,94553671,,"You can target 1 of your Spellcaster monsters that is banished or in your GY; shuffle it into the Deck, and if you do, add 1 ""Witchcrafter"" Spell from your Deck to your hand. If this card is in your GY, except the turn it was sent there: You can banish this card, then target any number of your banished ""Witchcrafter"" Spells with different names; add them to your hand. You can only use each effect of ""Witchcrafter Patronus"" once per turn.",Trap,Continuous,,,,,,,,
Witchcrafter Pittore ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,95245544,,"During the Main Phase (Quick Effect): You can Tribute this card, then discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your Deck, except ""Witchcrafter Pittore"". You can banish this card from your GY; draw 1 card, then send 1 ""Witchcrafter"" card from your hand to the GY, or, if you have none, banish your entire hand. You can only use each effect of ""Witchcrafter Pittore"" once per turn.",Monster,Effect,Spellcaster,WATER,1000,1500,3,,,
Witchcrafter Potterie ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,59851535,,"During the Main Phase (Quick Effect): You can Tribute this card, then discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your Deck, except ""Witchcrafter Potterie"". If you have no cards in your hand: You can banish this card from your GY, then target 1 ""Witchcrafter"" card in your GY; add it to your hand. You can only use each effect of ""Witchcrafter Potterie"" once per turn.",Monster,Effect,Spellcaster,EARTH,0,2000,2,,,
Witchcrafter Schmietta ,0,Rare,Unlimited,Master Pack; Name of Champions; Passage of the Sun; Seekers of Witchcraft,,21744288,,"During the Main Phase (Quick Effect): You can Tribute this card, then discard 1 Spell; Special Summon 1 ""Witchcrafter"" monster from your Deck, except ""Witchcrafter Schmietta"". You can banish this card from your GY; send 1 ""Witchcrafter"" card from your Deck to the GY, except ""Witchcrafter Schmietta"". You can only use each effect of ""Witchcrafter Schmietta"" once per turn.",Monster,Effect,Spellcaster,FIRE,1800,600,4,,,
Witchcrafter Scroll ,0,Common,Unlimited,Master Pack; Passage of the Sun; Seekers of Witchcraft,,19673561,,"Once per turn, when your Spellcaster monster destroys a monster by battle: You can draw 1 card. You can only use 1 of the following effects of ""Witchcrafter Scroll"" per turn, and only once that turn.
●If a ""Witchcrafter"" monster you control would discard to activate an effect, you can send this card from your field to the GY instead.
●During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can place this card face-up in your Spell & Trap Zone.",Spell,Continuous,,,,,,,,
Witchcrafter Unveiling ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,70226289,,"Special Summon 1 ""Witchcrafter"" monster from your hand, and if you do, your opponent cannot activate cards or effects in response to the activation of your Spellcaster monster effects for the rest of this turn. During your End Phase, if you control a ""Witchcrafter"" monster, while this card is in your GY: You can add this card to your hand. You can only use 1 ""Witchcrafter Unveiling"" effect per turn, and only once that turn.",Spell,Quick-Play,,,,,,,,
Witchcrafter Vice-Madame ,0,Ultra Rare,Unlimited,Master Pack; Name of Champions; Passage of the Sun; Seekers of Witchcraft,,09603252,,"1 ""Witchcrafter"" monster + 1 Spellcaster monster
When a Spell Card or effect, or a non-Fusion Spellcaster monster effect, is activated (Quick Effect): You can activate 1 of these effects (but you can only use each effect of ""Witchcrafter Vice-Madame"" once per turn).
●Destroy 1 card on the field.
●Special Summon 1 Level 6 or lower ""Witchcrafter"" monster from your hand or Deck.
●Add 1 ""Witchcrafter"" Spell/Trap from your GY to your hand.",Monster,Fusion;Effect,Spellcaster,DARK,2700,2800,8,,,
Witch Doctor of Chaos ,0,Common,Unlimited,Legacy Pack,,75946257,,FLIP: Select 1 Monster Card from you or your opponent's Graveyard. Remove it from play.,Monster,Flip;Effect,Spellcaster,DARK,500,500,2,,,
Witch Doctor of Sparta ,0,Common,Unlimited,Master Pack; Valiant Gladiator Beasts,,30525991,,Inflict 500 damage to your opponent each time a monster(s) is Special Summoned from either player's Deck.,Monster,Effect,Spellcaster,EARTH,400,2000,4,,,
Witch of the Black Forest ,0,Super Rare,Unlimited,Master Pack; Return of the King,,78010363,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less DEF from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Witch of the Black Forest"" once per turn.",Monster,Effect,Spellcaster,DARK,1100,1200,4,,,
Witch of the Black Rose ,0,Common,Unlimited,Exquisite Jet-Black Rose; Master Pack,,17720747,,"Cannot be Special Summoned. If this card is Normal Summoned, and you control no other cards: Draw 1 card and show it, then, if it is not a monster, send it to the GY, also destroy this card.",Monster,Tuner;Effect,Spellcaster,DARK,1700,1200,4,,,
Witty Phantom ,0,Common,Unlimited,Legacy Pack,,36304921,,"Dressed in a night-black tuxedo, this creature presides over the darkness.",Monster,Normal,Fiend,DARK,1400,1300,4,,,
"Wiz, Sage Fur Hire ",0,Super Rare,Unlimited,Master Pack; Vessels of Freedom,,01527418,,"If this card is Special Summoned: You can gain 500 LP for each monster ""Fur Hire"" you control with a different name, except ""Wiz, Sage Fur Hire"". When your opponent activates a Spell/Trap Card or effect (Quick Effect): You can discard 1 card ""Fur Hire""; negate the activation. You can only use each effect of ""Wiz, Sage Fur Hire"" once per turn.",Monster,Effect,Spellcaster,WATER,1600,2800,7,,,
Wizard Buster Destruction Sword ,0,Common,Unlimited,Master Pack; Warriors of Legend,,02602411,,"You can target 1 ""Buster Blader"" you control; equip this monster from your hand or your side of the field to that target. While this card is equipped to a monster, monsters in your opponent's Graveyard cannot activate their effects. You can send this Equip Card to the Graveyard, then target 1 ""Destruction Sword"" monster in your Graveyard, except ""Wizard Buster Destruction Sword""; add it to your hand.",Monster,Effect,Spellcaster,DARK,1200,900,3,,,
Wodan the Resident of the Forest ,0,Common,Unlimited,Legacy Pack,,42883273,,Increase this card's ATK by 100 points for every Plant-Type monster that is face-up on the field.,Monster,Effect,Warrior,EARTH,900,1200,3,,,
Woes of the White Forest ,0,Super Rare,Unlimited,Chaotic Showtime; Master Pack; Tales of the Witch,,62995268,,"Special Summon 1 ""White Forest"" monster from your hand or Deck, then immediately after this effect resolves, you can Synchro Summon 1 ""White Forest"" Synchro Monster. If this card is sent to the GY to activate a monster effect: You can Set this card. You can only use each effect of ""Woes of the White Forest"" once per turn.",Trap,Normal,,,,,,,,
Wolf ,0,Common,Unlimited,Legacy Pack,,49417509,,"Dis alpha wolf yoozes his sense a smell ta find da enemy. 'ey, quit sniffin at my socks!",Monster,Normal,Beast,EARTH,1200,800,3,,,
Wolf Axwielder ,0,Common,Unlimited,,,56369281,,"Once it has started battle, this monster attacks fiercely and cannot stop.",Monster,Normal,Beast-Warrior,EARTH,1650,1000,4,,,
Wolf in Sheep's Clothing ,0,Rare,Unlimited,Legacy Pack,,83546647,,"Activate only when you take Battle Damage from your opponent's monster's direct attack. Reveal 1 Level 1 monster in your hand. Special Summon it from your hand, and 1 monster with the same name from your Deck.",Trap,Normal,,,,,,,,
"Wollow, Founder of the Drudge Dragons ",0,Super Rare,Unlimited,Climax of the Showdown; Master Pack,,45935145,,"2+ Level 6 monsters
Monsters you control gain 100 ATK/DEF for each card in your opponent's GY. (Quick Effect): You can target 1 card in your opponent's GY and detach 1 or 2 materials from this card, then activate the appropriate effect;
●1: Return it to the Deck.
●2: If the target is a monster, Special Summon it face-up, or in face-down Defense Position, to your field. If it is not, Set it on your field.
You can only use this effect of ""Wollow, Founder of the Drudge Dragons"" once per turn.",Monster,Xyz;Effect,Zombie,DARK,2400,1300,6,,,
Wonder Balloons ,0,Rare,Unlimited,Legacy Pack,,78574395,,Once per turn: You can send any number of cards from your hand to the GY; place 1 Balloon Counter on this card for each card sent to the GY. All monsters your opponent controls lose 300 ATK for each Balloon Counter on this card.,Spell,Continuous,,,,,,,,
Wonder Clover ,0,Common,Unlimited,Legacy Pack,,38568567,,"Select 1 face-up monster you control and send 1 Level 4 Plant-Type monster from your hand to the Graveyard. During this turn, the selected monster can attack twice, but other monsters you control cannot declare an attack.",Spell,Normal,,,,,,,,
Wonder Garage ,0,Common,Unlimited,Master Pack; Roid Nexus,,50684552,,"When this Set card is destroyed and sent to the GY: You can Special Summon 1 Level 4 or lower Machine ""roid"" monster from your hand.",Trap,Normal,,,,,,,,
Wonder Wand ,0,Super Rare,Unlimited,Master Pack,,67775894,,Equip only to a Spellcaster monster. It gains 500 ATK. If you control the equipped monster and this card: You can send both to the GY; draw 2 cards.,Spell,Equip,,,,,,,,
Wonder Xyz ,0,Common,Unlimited,Master Pack; Outlaws from the Inferno; Sisters of the Light; Valiant Wings; Xyz Explosion,,73860462,,"Immediately after this effect resolves, Xyz Summon 1 Xyz Monster using monsters you control as Materials.",Trap,Normal,,,,,,,,
Wonky Quartet ,0,Rare,Unlimited,Master Pack; The Masters Saga,,47195442,,"2+ Level 4 monsters
Unaffected by other cards' effects. If this card is Xyz Summoned, also once per turn during your Standby Phase: Attach the top 3 cards of your Deck to this card as material, then apply the following effect based on the number of monsters attached to this card.
●4 or less: Give control of this card to your opponent.
●5 or more: Take 400 damage for each material this card has, and if you do, destroy all monsters you control.",Monster,Xyz;Effect,Beast,EARTH,0,2600,4,,,
Woodborg Inpachi ,0,Common,Unlimited,Legacy Pack,,35322812,,"The new form of the enigmatic Inpachi, remodeled by cutting-edge Dark World technology. Maneuverability has been sacrificed for strong armor, which is considered more important.",Monster,Normal,Machine,FIRE,500,2500,5,,,
Woodland Archer ,0,Common,Unlimited,Legacy Pack,,09848939,,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by having 2 or more Normal Monsters in your Graveyard. You can Tribute this card to add 1 Gemini monster from your Deck to your hand.,Monster,Effect,Beast-Warrior,EARTH,1400,1300,3,,,
Woodland Sprite ,0,Super Rare,Unlimited,Legacy Pack,,06979239,,Send 1 Equip Card equipped to this card to the Graveyard. Inflict 500 points of damage to your opponent's Life Points.,Monster,Effect,Plant,EARTH,900,400,3,,,
Wood Clown ,0,Common,Unlimited,Legacy Pack,,17511156,,A creature with a wicked smile and a lethal sickle.,Monster,Normal,Warrior,EARTH,800,1200,3,,,
Wood Remains ,0,Common,Unlimited,Legacy Pack,,17733394,,A living corpse of wood re-animated by the powers of darkness.,Monster,Normal,Zombie,DARK,1000,900,3,,,
Worldsea Dragon Zealantis ,0,Ultra Rare,Unlimited,Master Pack; Raging God of the Sea; The Synchronized Cosmos; Wrath of the Tyrants,,45112597,,"1+ Effect Monsters
You can only control 1 ""Worldsea Dragon Zealantis"". You can only use each of the following effects of ""Worldsea Dragon Zealantis"" once per turn. During your Main Phase: You can banish all monsters on the field, then Special Summon as many monsters as possible that were banished by this effect, to their owners' fields, face-up, or in face-down Defense Position. During the Battle Phase (Quick Effect): You can destroy cards on the field up to the number of co-linked monsters on the field.",Monster,Link;Effect,Sea Serpent,WATER,2500,,,,4,Middle-Left; Bottom-Center; Middle-Right; Top-Center
World Carrotweight Champion ,0,Rare,Unlimited,Legacy Pack,,44928016,,"If this card is in your GY: You can send 1 Plant monster from your hand or face-up field to the GY, except ""World Carrotweight Champion""; Special Summon this card. You can only use this effect of ""World Carrotweight Champion"" once per turn.",Monster,Effect,Plant,DARK,1900,0,4,,,
World Chalice Guardragon ,0,Common,Unlimited,Legacy Pack,,84899094,,"When a card or effect is activated that targets your linked monster (Quick Effect): You can send this card from your hand or field to the GY; negate the activation, and if you do, destroy that card. You can banish this card from your GY, then target 1 Normal Monster in your GY; Special Summon it in Defense Position to your zone a Link Monster points to. You can only use this effect of ""World Chalice Guardragon"" once per turn.",Monster,Effect,Dragon,WIND,400,400,1,,,
World Chalice Guardragon Almarduke ,0,Rare,Unlimited,Invincible Aces; Master Pack; Star-Studded Futures,,95793022,,"3 Link Monsters
Must first be either Fusion Summoned, or Special Summoned from your Extra Deck by Tributing the above cards you control (in which case you do not use ""Polymerization""). This card can attack all monsters your opponent controls once each. When an attack is declared involving this card and an opponent's Link Monster: You can banish 1 Link Monster with the same Link Rating as that monster from your field or GY; destroy that opponent's monster, and if you do, inflict damage to your opponent equal to its original ATK.",Monster,Fusion;Effect,Dragon,WIND,3000,2600,9,,,
World Dino Wrestling ,0,Rare,Unlimited,Master Pack; Three-Strike Success,,90173539,,"While you control a ""Dinowrestler"" monster, each player can attack with only 1 monster during each Battle Phase. If your ""Dinowrestler"" monster attacks an opponent's monster, it gains 200 ATK during damage calculation only. If your opponent controls more monsters than you do: You can banish this card from the GY; Special Summon 1 ""Dinowrestler"" monster from your Deck. You can only use this effect of ""World Dino Wrestling"" once per turn.",Spell,Field,,,,,,,,
World Gears of Theurlogical Demiurgy ,0,Ultra Rare,Unlimited,Master Pack; Star-Studded Futures,,57282724,,"3 Level 5 or higher monsters
Cannot be used as Link Material. This Link Summoned card is unaffected by other monsters' effects. You can only use each of the following effects of ""World Gears of Theurlogical Demiurgy"" once per turn.
●During your Main Phase, if you control this card that was Link Summoned using 3 monsters that had 3 different Types and Attributes on the field: You can destroy all other cards on the field.
●If your opponent Special Summons a monster(s) from the Extra Deck (except during the Damage Step): You can Special Summon 1 ""World Legacy"" monster from your Deck.",Monster,Link;Effect,Cyberse,DARK,3500,,,,3,Middle-Left; Bottom-Center; Middle-Right
World Legacy's Corruption ,0,Common,Unlimited,Legacy Pack,,62279666,,"Once per turn, if a face-up Link Monster you control is destroyed by battle, or leaves the field because of an opponent's card effect: You can Special Summon 1 ""World Legacy"" monster from your hand or Deck in Defense Position. You can only control 1 ""World Legacy's Corruption"".",Spell,Continuous,,,,,,,,
World Legacy's Heart ,0,Common,Unlimited,Legacy Pack,,97648103,,"Target 2 ""World Chalice"" monsters in your GY with different names; add them to your hand. If your linked Link Monster would be destroyed by battle, you can banish this card from your GY instead. You can only activate 1 ""World Legacy's Heart"" per turn.",Spell,Normal,,,,,,,,
World Legacy's Memory ,0,Rare,Unlimited,Cosmic Mechanical Entities; Master Pack,,68191756,,"Special Summon 1 ""Mekk-Knight"" monster from your hand or Deck in Defense Position, but return it to the hand during the End Phase. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except ""Mekk-Knight"" monsters. You can only activate 1 ""World Legacy's Memory"" per turn.",Spell,Quick-Play,,,,,,,,
World Legacy's Mind Meld ,0,Rare,Unlimited,Cosmic Mechanical Entities; Master Pack,,27705190,,"When an opponent's monster activates its effect while you control a ""Krawler"" monster: The activated effect becomes ""return 1 face-up monster your opponent controls to the hand"". You can banish this card from your GY, then target 1 Link Monster on the field; Special Summon 1 ""Krawler"" monster from your hand, Deck, or GY to your zone the target points to, in face-down Defense Position. You can only use 1 ""World Legacy's Mind Meld"" effect per turn, and only once that turn.",Trap,Normal,,,,,,,,
World Legacy's Nightmare ,0,Common,Unlimited,Cosmic Mechanical Entities; Invincible Aces; Master Pack,,25163979,,"You take no battle damage from attacks involving your co-linked monsters. Once per turn: You can activate 1 of these effects;
●Move 1 ""Knightmare"" monster you control to another of your Main Monster Zones.
●Switch the locations of 2 ""Knightmare"" monsters in your Main Monster Zones.",Spell,Field,,,,,,,,
World Legacy's Secret ,0,Common,Unlimited,Cosmic Mechanical Entities; Invincible Aces; Master Pack,,98935722,,"When this card is activated: You can target 1 Level 5 or higher monster in your GY; Special Summon it. When this card leaves the field, destroy that monster. Negate any opponent's monster effect that activates in the same column as a ""Mekk-Knight"" monster you control.",Trap,Continuous,,,,,,,,
World Legacy's Sorrow ,0,Rare,Unlimited,Cosmic Mechanical Entities; Master Pack,,85763457,,"When your opponent activates a Spell/Trap Card, or monster effect, while you control a co-linked monster(s): Negate the activation, and if you do, destroy that card. You can only activate 1 ""World Legacy's Sorrow"" per turn.",Trap,Counter,,,,,,,,
